#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCslv.10;You own §G[Root.num_slaves.GetValue]§! Slaves\n;;;;;;;;;;;;;x
slave_manage;Manage Slaves;;;;;;;;;;;;;
TOOLTIPslv.11S;Sell §R1000§! Slaves for §G170-300§! Gold \n;;;;;;;;;;;;;
TOOLTIPslv.11B;Buy §G1000§! Slaves for §R120-300§! Gold \n;;;;;;;;;;;;;
RETTYPE_INF_UNSULLIED;Unsullied Legion;;;;;;;;;;;;;
TOOLTIPslv.12U;Buy §Y1000§! Unsullied for §R1400 - 2000§!;;;;;;;;;;;;;
EVTDESCslv.25;§R[Root.slave_diff.GetValue]§! Slaves where sold for §G[global_slave_sell_price.GetValue]§!¤\n You own §G[Root.num_slv.GetValue]§! Slaves\n;;;;;;;;;;;;;
TOOLTIPslv.25;§R[Root.slave_diff.GetValue]§! Slaves where sold for §G[global_slave_sell_price.GetValue]§!¤\n You own §G[Root.num_slv.GetValue]§! Slaves\n;;;;;;;;;;;;;
TOOLTIPslv.11W;§R You must wait until our traders are ready again§!;;;;;;;;;;;;;
EVTDESCslv.20;§Z[Root.slave_diff.GetValue]§! Slaves where bought for: §G[global_slave_buy_price.GetValue]§!¤\n\n You own §G[Root.num_slv.GetValue]§! Slaves\n;;;;;;;;;;;;;
TOOLTIPslv.20;§Z[Root.slave_diff.GetValue]§! Slaves where bought for: §G[global_slave_buy_trade.GetValue]§!¤\n\n You own §G[Root.num_slv.GetValue]§! Slaves\n;;;;;;;;;;;;;
TOOLTIPslv.12W;§R You must wait until the wise masters sell to us again§!;;;;;;;;;;;;;
TOOLTIPslv.12N;§R We can't accommodate the unsullied, build §!§Yunsullied barracks§! in your demnese.;;;;;;;;;;;;;
ca_slv_market;Slave Market;;;;;;;;;;;;;
ca_fight_pit;Fighting Pit;;;;;;;;;;;;;
ca_house_of_pleasure;House of Pleasure;;;;;;;;;;;;;
ct_slv_market;Slave Market;;;;;;;;;;;;;
ct_fight_pit;Fighting Pit;;;;;;;;;;;;;
ct_house_of_pleasure;House of Pleasure;;;;;;;;;;;;;
TOOLTIPslv.11D;You need at least 1000 slaves to sell;;;;;;;;;;;;;
EVTDESCslv_player.30;We have arranged a deal with the wise masters for §G1000§! Unsullied soldiers for §R[Root.temp_slave_price.GetValue] gold§!, if we refuse they might not want to make business with us for a while?;;;;;;;;;;;;;
EVTDESCslavery_player.10;We have arranged a deal for §G1000§! Slaves for §R[Root.temp_slave_price.GetValue] gold§!, if we refuse well have to wait until next season in 3 months.;;;;;;;;;;;;;
EVTDESCslavery_player.20;We have arranged a deal to sell §R1000§! Slaves for §G[Root.temp_slave_price.GetValue] gold§!, if we refuse well have to wait until next season in 3 months.;;;;;;;;;;;;;
num_slaves;Number of slaves;;;;;;;;;;;;;
slavery_modifier_base ;Minor Slave Labor;;;;;;;;;;;;;
slavery_modifier_1;Marginal Slave Labor;Travail servile marginal;;;;;;;;;;;;x
slavery_modifier_2;Small Slave Labor;;;;;;;;;;;;;
slavery_modifier_3;Limited Slave Labor;;;;;;;;;;;;;
slavery_modifier_4;Considerable Slave Labor;;;;;;;;;;;;;
slavery_modifier_5;Moderate Slave Labor;;;;;;;;;;;;;
slavery_modifier_6;Major Slave Labor;;;;;;;;;;;;;
slavery_modifier_7;Extensive Slave Labor;;;;;;;;;;;;;
slavery_modifier_8;Extensive Slave Labor;;;;;;;;;;;;;
slavery_modifier_9;Slave Economy;;;;;;;;;;;;;
slavery_modifier_10;Slave Economy;;;;;;;;;;;;;
slavery_modifier_1_desc;There are only a handful of slaves in your provinces, but enough to supplement the efforts of free laborers.;;;;;;;;;;;;;
slavery_modifier_2_desc;There are only a handful of slaves in your province, but enough to supplement the efforts of free laborers.;;;;;;;;;;;;;
