#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_candle_maker;Candle Maker;Candle Maker;;;Candle Maker;;;;;;;;;x
ct_candle_maker;Candle Maker;Candle Maker;;;Candle Maker;;;;;;;;;x
tp_candle_maker;Candle Maker;Candle Maker;;;Candle Maker;;;;;;;;;x
ca_candle_maker_desc;The candle maker;;;;;;;;;x
ca_dragon_tower;Dragon Tower;Dragon Tower;;;Dragon Tower;;;;;;;;;x
ct_dragon_tower;Dragon Tower;Dragon Tower;;;Dragon Tower;;;;;;;;;x
tp_dragon_tower;Dragon Tower;Dragon Tower;;;Dragon Tower;;;;;;;;;x
ca_dragon_tower_desc;A huge tower, demonstrating power and wealth.;;;;;;;;;x
ca_duel_academy;Duel Academy;Duel Academy;;;Duel Academy;;;;;;;;;x
ca_duel_academy_desc;This academy is built to form formidable fighters. A lot of veterans want to share their wisdom.;;;;;;;;;x
ct_theatre;Theatre;Theatre;;;Theatre;;;;;;;;;x
ct_theatre_desc;A theatre with plays usually mocking the high lords and ladies enjoys great popularity among the common folk;;;;;;;;;x
ca_winesink;Winesink;Winesink;;;Winesink;;;;;;;;;x
ct_winesink;Winesink;Winesink;;;Winesink;;;;;;;;;x
ca_winesink_desc;A winesink is a disreputable pub often frequented by the rougher sort of patron;;;;;;;;;x
ca_secret_tunnels;Secret Tunnels;Secret Tunnels;;;Secret Tunnels;;;;;;;;;x
ct_secret_tunnels;Secret Tunnels;Secret Tunnels;;;Secret Tunnels;;;;;;;;;x
tp_secret_tunnels;Secret Tunnels;Secret Tunnels;;;Secret Tunnels;;;;;;;;;x
ca_secret_tunnels_desc;Used to escape or ambush in sieges.;;;;;;;;;x
ca_night_watchman;Night Watchman;Night Watchman;;;Night Watchman;;;;;;;;;x
ct_night_watchman;Night Watchman;Night Watchman;;;Night Watchman;;;;;;;;;x
tp_night_watchman;Night Watchman;Night Watchman;;;Night Watchman;;;;;;;;;x
ca_night_watchman_desc;Night Watchmen keep a look out for any suspicious activities at night.;;;;;;;;;x
ca_barber_surgeon;Barber Surgeon;Barber Surgeon;;;Barber Surgeon;;;;;;;;;x
ct_barber_surgeon;Barber Surgeon;Barber Surgeon;;;Barber Surgeon;;;;;;;;;x
tp_barber_surgeon;Barber Surgeon;Barber Surgeon;;;Barber Surgeon;;;;;;;;;x
ca_barber_surgeon_desc;A barber surgeon has various tasks ranging from cutting hair to amputating limbs.;;;;;;;;;x
ca_naval_shipyard;Naval Shipyard;Naval Shipyard;;;Naval Shipyard;;;;;;;;;x
ct_naval_shipyard;Naval Shipyard;Naval Shipyard;;;Naval Shipyard;;;;;;;;;x
tp_naval_shipyard;Naval Shipyard;Naval Shipyard;;;Naval Shipyard;;;;;;;;;x
ca_naval_shipyard_desc;Countless trees are chopped down and a lot of people had to leave their home to make place for this huge shipyard;;;;;;;;;x
ca_weird_butcher;Weird Butcher;Weird Butcher;;;Weird Butcher;;;;;;;;;x
ct_weird_butcher;Weird Butcher;Weird Butcher;;;Weird Butcher;;;;;;;;;x
ca_weird_butcher_desc;A very profitable butcher, but somehow his meat tastes off...;;;;;;;;;x
ca_library;Library;Library;;;Library;;;;;;;;;x
ct_library;Library;Library;;;Library;;;;;;;;;x
tp_library;Library;Library;;;Library;;;;;;;;;x
ca_library_desc;A public library, most people are illiterate, but maybe you can find a nice book for yourself;;;;;;;;;x
EVTDESCdragon_tower_events.10;For the last few days there was a strange preacher in front of the dragon tower, you are curios and listening for a while.;;;;;;;;;;;;;x
EVTOPTAdragon_tower_events.10;This preacher is a genius. How was I so blind until now?;;;;;;;;;;;;;x
EVTOPTBdragon_tower_events.10;This is boring. I am wasting my time here.;;;;;;;;;;;;;x
EVTDESCdragon_tower_events.20;You spend a lot of time in the dragon tower, because you can feel its power. One night fall asleep in it. When you wake up you are heaviliy sweating and you can remember your last dream as if it was real. Maybe it will be real?;;;;;;;;;;;;;x
EVTOPTAdragon_tower_events.20;Can I look into the future?;;;;;;;;;;;;;x
EVTDESCvisit_library.10;You found a rare looking book at the public library. At home you realized it would be fine an addition to your own library.;;;;;;;;;;;;;x
EVTOPTAlibray_event.10;I keep it! Those commoners can't read anyways.;;;;;;;;;;;;;x
EVTOPTBlibray_event.10;No I will return it. I am not a thief.;;;;;;;;;;;;;x
stole_book;Stole a book;;;;;;;;;;;;;x
stole_book_desc;This person stole a book and is banned from the library.;;;;;;;;;;;;;x
EVTDESCduel_academy_events.10;You find some time to go to the famous duel academy of this castle. There are supposed to be famous warriors, who are willing to train promising fighters. But when you arrive you see that their methods are cruel and brutal. They will not treat you like a lord. Do you really want these men to help you?;;;;;;;;;;;;;x
EVTOPTAduel_academy_events.10;I will endure their training to become a better fighter.;;;;;;;;;;;;;x
EVTOPTBduel_academy_events.10;I am quite content with my fighting skills.;;;;;;;;;;;;;x
EVTDESCduel_academy_events.11;You realize that you love fighting. You will spend more time at the academy.;;;;;;;;;;;;;x
EVTOPTAduel_academy_events.11;Fighting is my life.;;;;;;;;;;;;;x
EVTDESCduel_academy_events.12;The old duelists didn't only taught you how to fight, you also start to use some of their words. How will the other rulers react to your foul mouth?.;;;;;;;;;;;;;x
EVTOPTAduel_academy_events.12;The fuck do I care how the others think of me!;;;;;;;;;;;;;x
EVTDESCweird_butcher_events.10;You heard about a strange butcher in town, the meat is supposed to be very cheap, but very tasty. You inspect the meat, but you can't tell which animal it is from. When you ask the butcher he just laughs and says it's chicken.;;;;;;;;;;;;;x
EVTOPTAweird_butcher_events.10;What is the worst that could happen? I will take a bite!;;;;;;;;;;;;;x
